candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
810,fe-candidate-0810-matt-flannery,Matt Flannery,,Kiva founder,,,,,https://en.wikipedia.org/wiki/Matt_Flannery,unresearched,unverified_candidate,Curated: Kiva founder
811,fe-candidate-0811-robert-kahn-(computer-scientist),Robert Kahn (computer scientist),,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_Kahn_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American software engineers
812,fe-candidate-0812-mike-little,Mike Little,,WordPress founder,,,,,https://en.wikipedia.org/wiki/Mike_Little,unresearched,unverified_candidate,Curated: WordPress founder
813,fe-candidate-0813-mary-kenneth-keller,Mary Kenneth Keller,,American software engineers,,,,,https://en.wikipedia.org/wiki/Mary_Kenneth_Keller,unresearched,unverified_candidate,Wikipedia category: American software engineers
814,fe-candidate-0814-pavel-durov,Pavel Durov,1984,Telegram founder,,,,,https://en.wikipedia.org/wiki/Pavel_Durov,unresearched,unverified_candidate,Curated: Telegram founder
815,fe-candidate-0815-ravindra-k.-ahuja,Ravindra K. Ahuja,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Ravindra_K._Ahuja,unresearched,unverified_candidate,Wikipedia category: American computer scientists
816,fe-candidate-0816-forest-baskett,Forest Baskett,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Forest_Baskett,unresearched,unverified_candidate,Wikipedia category: American computer scientists
817,fe-candidate-0817-brendan-eich,Brendan Eich,1961,JavaScript creator,,,,,https://en.wikipedia.org/wiki/Brendan_Eich,unresearched,unverified_candidate,Curated: JavaScript creator
818,fe-candidate-0818-henrique-dubugras,Henrique Dubugras,1996,YC founder,,,,,https://en.wikipedia.org/wiki/Henrique_Dubugras,unresearched,unverified_candidate,Curated: YC founder
819,fe-candidate-0819-amir-chetrit,Amir Chetrit,,Ethereum founder,,,,,https://en.wikipedia.org/wiki/Amir_Chetrit,unresearched,unverified_candidate,Curated: Ethereum founder
820,fe-candidate-0820-quincy-k.-brown,Quincy K. Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Quincy_K._Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
821,fe-candidate-0821-nishad-singh,Nishad Singh,1996,FTX engineer,,,,,https://en.wikipedia.org/wiki/Nishad_Singh,unresearched,unverified_candidate,Curated: FTX engineer
822,fe-candidate-0822-andrew-hodges,Andrew Hodges,,tech engineer,,,,,https://en.wikipedia.org/wiki/Andrew_Hodges,unresearched,unverified_candidate,Curated: tech engineer
823,fe-candidate-0823-aanand-prasad,Aanand Prasad,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Aanand_Prasad,unresearched,unverified_candidate,Curated: Docker engineer
824,fe-candidate-0824-lachy-groom,Lachy Groom,,YC partner,,,,,https://en.wikipedia.org/wiki/Lachy_Groom,unresearched,unverified_candidate,Curated: YC partner
825,fe-candidate-0825-keith-rabois,Keith Rabois,1969,tech investor,,,,,https://en.wikipedia.org/wiki/Keith_Rabois,unresearched,unverified_candidate,Curated: tech investor
826,fe-candidate-0826-annie-easley,Annie Easley,,American software engineers,,,,,https://en.wikipedia.org/wiki/Annie_Easley,unresearched,unverified_candidate,Wikipedia category: American software engineers
827,fe-candidate-0827-david-schwartz,David Schwartz,1964,Ripple CTO,,,,,https://en.wikipedia.org/wiki/David_Schwartz,unresearched,unverified_candidate,Curated: Ripple CTO
828,fe-candidate-0828-aaron-iba,Aaron Iba,,tech founder,,,,,https://en.wikipedia.org/wiki/Aaron_Iba,unresearched,unverified_candidate,Curated: tech founder
829,fe-candidate-0829-ruchi-sanghvi,Ruchi Sanghvi,1982,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Ruchi_Sanghvi,unresearched,unverified_candidate,Curated: Facebook engineer
830,fe-candidate-0830-sebastian-thrun,Sebastian Thrun,1967,Udacity founder,,,,,https://en.wikipedia.org/wiki/Sebastian_Thrun,unresearched,unverified_candidate,Curated: Udacity founder
831,fe-candidate-0831-megan-garcia,Megan Garcia,,tech executive,,,,,https://en.wikipedia.org/wiki/Megan_Garcia,unresearched,unverified_candidate,Curated: tech executive
832,fe-candidate-0832-ingrid-lunden,Ingrid Lunden,,tech writer,,,,,https://en.wikipedia.org/wiki/Ingrid_Lunden,unresearched,unverified_candidate,Curated: tech writer
833,fe-candidate-0833-michael-b.-t.-bell,Michael B. T. Bell,,American software engineers,,,,,https://en.wikipedia.org/wiki/Michael_B._T._Bell,unresearched,unverified_candidate,Wikipedia category: American software engineers
834,fe-candidate-0834-nancy-m.-amato,Nancy M. Amato,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Nancy_M._Amato,unresearched,unverified_candidate,Wikipedia category: American computer scientists
835,fe-candidate-0835-remzi-arpaci-dusseau,Remzi Arpaci-Dusseau,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Remzi_Arpaci-Dusseau,unresearched,unverified_candidate,Wikipedia category: American computer scientists
836,fe-candidate-0836-dan-fredinburg,Dan Fredinburg,,American software engineers,,,,,https://en.wikipedia.org/wiki/Dan_Fredinburg,unresearched,unverified_candidate,Wikipedia category: American software engineers
837,fe-candidate-0837-leslie-lamport,Leslie Lamport,1941,CS researcher,,,,,https://en.wikipedia.org/wiki/Leslie_Lamport,unresearched,unverified_candidate,Curated: CS researcher
838,fe-candidate-0838-alice-bean,Alice Bean,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Alice_Bean,unresearched,unverified_candidate,Wikipedia category: American computer scientists
839,fe-candidate-0839-adam-paszke,Adam Paszke,1995,PyTorch creator,,,,,https://en.wikipedia.org/wiki/Adam_Paszke,unresearched,unverified_candidate,Curated: PyTorch creator
840,fe-candidate-0840-rajive-bagrodia,Rajive Bagrodia,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Rajive_Bagrodia,unresearched,unverified_candidate,Wikipedia category: American computer scientists
841,fe-candidate-0841-paul-r.-berger,Paul R. Berger,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Paul_R._Berger,unresearched,unverified_candidate,Wikipedia category: American computer scientists
842,fe-candidate-0842-craig-federighi,Craig Federighi,,American software engineers,,,,,https://en.wikipedia.org/wiki/Craig_Federighi,unresearched,unverified_candidate,Wikipedia category: American software engineers
843,fe-candidate-0843-david-baszucki,David Baszucki,,American software engineers,,,,,https://en.wikipedia.org/wiki/David_Baszucki,unresearched,unverified_candidate,Wikipedia category: American software engineers
844,fe-candidate-0844-james-w.-hunt,James W. Hunt,,American software engineers,,,,,https://en.wikipedia.org/wiki/James_W._Hunt,unresearched,unverified_candidate,Wikipedia category: American software engineers
845,fe-candidate-0845-mg-siegler,MG Siegler,,tech writer/VC,,,,,https://en.wikipedia.org/wiki/MG_Siegler,unresearched,unverified_candidate,Curated: tech writer/VC
846,fe-candidate-0846-josh-evans,Josh Evans,,Netflix engineer,,,,,https://en.wikipedia.org/wiki/Josh_Evans,unresearched,unverified_candidate,Curated: Netflix engineer
847,fe-candidate-0847-pamela-fox,Pamela Fox,1986,tech engineer,,,,,https://en.wikipedia.org/wiki/Pamela_Fox,unresearched,unverified_candidate,Curated: tech engineer
848,fe-candidate-0848-paul-graham-(programmer),Paul Graham (programmer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Paul_Graham_(programmer),unresearched,unverified_candidate,Wikipedia category: American software engineers
849,fe-candidate-0849-timothée-lacroix,Timothée Lacroix,,Mistral AI founder,,,,,https://en.wikipedia.org/wiki/Timothée_Lacroix,unresearched,unverified_candidate,Curated: Mistral AI founder
850,fe-candidate-0850-tim-clem,Tim Clem,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Tim_Clem,unresearched,unverified_candidate,Curated: GitHub engineer
851,fe-candidate-0851-katie-ganski,Katie Ganski,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Katie_Ganski,unresearched,unverified_candidate,Curated: Valve engineer
852,fe-candidate-0852-lisa-anthony,Lisa Anthony,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Lisa_Anthony,unresearched,unverified_candidate,Wikipedia category: American computer scientists
853,fe-candidate-0853-chamath-palihapitiya,Chamath Palihapitiya,1976,Facebook VP,,,,,https://en.wikipedia.org/wiki/Chamath_Palihapitiya,unresearched,unverified_candidate,Curated: Facebook VP
854,fe-candidate-0854-chris-putman,Chris Putman,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Chris_Putman,unresearched,unverified_candidate,Curated: Facebook engineer
855,fe-candidate-0855-alexandra-boltasseva,Alexandra Boltasseva,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Alexandra_Boltasseva,unresearched,unverified_candidate,Wikipedia category: American computer scientists
856,fe-candidate-0856-mano-marks,Mano Marks,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Mano_Marks,unresearched,unverified_candidate,Curated: Docker engineer
857,fe-candidate-0857-asmau-ahmed,Asmau Ahmed,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Asmau_Ahmed,unresearched,unverified_candidate,Wikipedia category: American technology company founders
858,fe-candidate-0858-dhh,DHH,1979,Rails creator,,,,,https://en.wikipedia.org/wiki/DHH,unresearched,unverified_candidate,Curated: Rails creator
859,fe-candidate-0859-joy-buolamwini,Joy Buolamwini,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Joy_Buolamwini,unresearched,unverified_candidate,Wikipedia category: American computer scientists
860,fe-candidate-0860-nathan-adams,Nathan Adams,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Nathan_Adams,unresearched,unverified_candidate,Curated: Minecraft developer
861,fe-candidate-0861-francine-berman,Francine Berman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Francine_Berman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
862,fe-candidate-0862-isaac-schlueter,Isaac Schlueter,1981,npm creator,,,,,https://en.wikipedia.org/wiki/Isaac_Schlueter,unresearched,unverified_candidate,Curated: npm creator
863,fe-candidate-0863-jordan-walke,Jordan Walke,,React creator,,,,,https://en.wikipedia.org/wiki/Jordan_Walke,unresearched,unverified_candidate,Curated: React creator
864,fe-candidate-0864-bri-holt,Bri Holt,,American software engineers,,,,,https://en.wikipedia.org/wiki/Bri_Holt,unresearched,unverified_candidate,Wikipedia category: American software engineers
865,fe-candidate-0865-naval-ravikant,Naval Ravikant,1974,AngelList founder,,,,,https://en.wikipedia.org/wiki/Naval_Ravikant,unresearched,unverified_candidate,Curated: AngelList founder
866,fe-candidate-0866-liang-rubo,Liang Rubo,,ByteDance founder,,,,,https://en.wikipedia.org/wiki/Liang_Rubo,unresearched,unverified_candidate,Curated: ByteDance founder
867,fe-candidate-0867-balaji-srinivasan,Balaji Srinivasan,1980,crypto/tech founder,,,,,https://en.wikipedia.org/wiki/Balaji_Srinivasan,unresearched,unverified_candidate,Curated: crypto/tech founder
868,fe-candidate-0868-daniel-mack,Daniel Mack,,systemd contributor,,,,,https://en.wikipedia.org/wiki/Daniel_Mack,unresearched,unverified_candidate,Curated: systemd contributor
869,fe-candidate-0869-emma-brunskill,Emma Brunskill,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Emma_Brunskill,unresearched,unverified_candidate,Wikipedia category: American computer scientists
870,fe-candidate-0870-murray-campbell,Murray Campbell,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Murray_Campbell,unresearched,unverified_candidate,Wikipedia category: American computer scientists
871,fe-candidate-0871-william-hockey,William Hockey,1988,Plaid founder,,,,,https://en.wikipedia.org/wiki/William_Hockey,unresearched,unverified_candidate,Curated: Plaid founder
872,fe-candidate-0872-arquay-harris,Arquay Harris,,American software engineers,,,,,https://en.wikipedia.org/wiki/Arquay_Harris,unresearched,unverified_candidate,Wikipedia category: American software engineers
873,fe-candidate-0873-kevin-hale,Kevin Hale,1980,YC partner,,,,,https://en.wikipedia.org/wiki/Kevin_Hale,unresearched,unverified_candidate,Curated: YC partner
874,fe-candidate-0874-searge,Searge,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Searge,unresearched,unverified_candidate,Curated: Minecraft developer
875,fe-candidate-0875-meg-whitman,Meg Whitman,1956,eBay CEO,,,,,https://en.wikipedia.org/wiki/Meg_Whitman,unresearched,unverified_candidate,Curated: eBay CEO
876,fe-candidate-0876-brian-grant,Brian Grant,,Kubernetes contributor,,,,,https://en.wikipedia.org/wiki/Brian_Grant,unresearched,unverified_candidate,Curated: Kubernetes contributor
877,fe-candidate-0877-tony-xu,Tony Xu,1985,YC founder,,,,,https://en.wikipedia.org/wiki/Tony_Xu,unresearched,unverified_candidate,Curated: YC founder
878,fe-candidate-0878-sara-soueidan,Sara Soueidan,1989,web developer,,,,,https://en.wikipedia.org/wiki/Sara_Soueidan,unresearched,unverified_candidate,Curated: web developer
879,fe-candidate-0879-william-martin-boyce,William Martin Boyce,,American computer scientists,,,,,https://en.wikipedia.org/wiki/William_Martin_Boyce,unresearched,unverified_candidate,Wikipedia category: American computer scientists
880,fe-candidate-0880-valery-sizov,Valery Sizov,,GitLab engineer,,,,,https://en.wikipedia.org/wiki/Valery_Sizov,unresearched,unverified_candidate,Curated: GitLab engineer
881,fe-candidate-0881-sara-hooker,Sara Hooker,,Cohere researcher,,,,,https://en.wikipedia.org/wiki/Sara_Hooker,unresearched,unverified_candidate,Curated: Cohere researcher
882,fe-candidate-0882-robert-carr-(programmer),Robert Carr (programmer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_Carr_(programmer),unresearched,unverified_candidate,Wikipedia category: American software engineers
883,fe-candidate-0883-mira-murati,Mira Murati,1988,OpenAI CTO,,,,,https://en.wikipedia.org/wiki/Mira_Murati,unresearched,unverified_candidate,Curated: OpenAI CTO
884,fe-candidate-0884-william-entriken,William Entriken,,American software engineers,,,,,https://en.wikipedia.org/wiki/William_Entriken,unresearched,unverified_candidate,Wikipedia category: American software engineers
885,fe-candidate-0885-ronan-collobert,Ronan Collobert,,ML researcher,,,,,https://en.wikipedia.org/wiki/Ronan_Collobert,unresearched,unverified_candidate,Curated: ML researcher
886,fe-candidate-0886-robyn-lutz,Robyn Lutz,,American software engineers,,,,,https://en.wikipedia.org/wiki/Robyn_Lutz,unresearched,unverified_candidate,Wikipedia category: American software engineers
887,fe-candidate-0887-darragh-buckley,Darragh Buckley,,American software engineers,,,,,https://en.wikipedia.org/wiki/Darragh_Buckley,unresearched,unverified_candidate,Wikipedia category: American software engineers
888,fe-candidate-0888-samuel-n.-alexander,Samuel N. Alexander,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Samuel_N._Alexander,unresearched,unverified_candidate,Wikipedia category: American computer scientists
889,fe-candidate-0889-anita-carleton,Anita Carleton,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Anita_Carleton,unresearched,unverified_candidate,Wikipedia category: American computer scientists
890,fe-candidate-0890-peter-zijlstra,Peter Zijlstra,,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Peter_Zijlstra,unresearched,unverified_candidate,Curated: Linux kernel maintainer
891,fe-candidate-0891-sarita-adve,Sarita Adve,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Sarita_Adve,unresearched,unverified_candidate,Wikipedia category: American computer scientists
892,fe-candidate-0892-martin-fowler,Martin Fowler,1963,software architect,,,,,https://en.wikipedia.org/wiki/Martin_Fowler,unresearched,unverified_candidate,Curated: software architect
893,fe-candidate-0893-ruth-porat,Ruth Porat,1957,Google CFO,,,,,https://en.wikipedia.org/wiki/Ruth_Porat,unresearched,unverified_candidate,Curated: Google CFO
894,fe-candidate-0894-alexander-rush,Alexander Rush,,AI researcher,,,,,https://en.wikipedia.org/wiki/Alexander_Rush,unresearched,unverified_candidate,Curated: AI researcher
895,fe-candidate-0895-shawn-bohner,Shawn Bohner,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Shawn_Bohner,unresearched,unverified_candidate,Wikipedia category: American computer scientists
896,fe-candidate-0896-karen-sparck-jones,Karen Sparck Jones,1935,IR pioneer,,,,,https://en.wikipedia.org/wiki/Karen_Sparck_Jones,unresearched,unverified_candidate,Curated: IR pioneer
897,fe-candidate-0897-tom-gilb,Tom Gilb,,American software engineers,,,,,https://en.wikipedia.org/wiki/Tom_Gilb,unresearched,unverified_candidate,Wikipedia category: American software engineers
898,fe-candidate-0898-gordon-bell,Gordon Bell,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Gordon_Bell,unresearched,unverified_candidate,Wikipedia category: American computer scientists
899,fe-candidate-0899-albert-f.-case-jr.,Albert F. Case Jr.,,American software engineers,,,,,https://en.wikipedia.org/wiki/Albert_F._Case_Jr.,unresearched,unverified_candidate,Wikipedia category: American software engineers
900,fe-candidate-0900-bob-bemer,Bob Bemer,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Bob_Bemer,unresearched,unverified_candidate,Wikipedia category: American computer scientists
901,fe-candidate-0901-apoorva-mehta,Apoorva Mehta,1986,YC founder,,,,,https://en.wikipedia.org/wiki/Apoorva_Mehta,unresearched,unverified_candidate,Curated: YC founder
902,fe-candidate-0902-diane-powell-murray,Diane Powell Murray,,American software engineers,,,,,https://en.wikipedia.org/wiki/Diane_Powell_Murray,unresearched,unverified_candidate,Wikipedia category: American software engineers
903,fe-candidate-0903-fatma-özcan,Fatma Özcan,,American software engineers,,,,,https://en.wikipedia.org/wiki/Fatma_Özcan,unresearched,unverified_candidate,Wikipedia category: American software engineers
904,fe-candidate-0904-devin-coldewey,Devin Coldewey,,tech writer,,,,,https://en.wikipedia.org/wiki/Devin_Coldewey,unresearched,unverified_candidate,Curated: tech writer
905,fe-candidate-0905-david-miller,David Miller,,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/David_Miller,unresearched,unverified_candidate,Curated: Linux kernel maintainer
906,fe-candidate-0906-jeff-sutherland,Jeff Sutherland,1941,Scrum creator,,,,,https://en.wikipedia.org/wiki/Jeff_Sutherland,unresearched,unverified_candidate,Curated: Scrum creator
907,fe-candidate-0907-olaf-carlson-wee,Olaf Carlson-Wee,1989,crypto founder,,,,,https://en.wikipedia.org/wiki/Olaf_Carlson-Wee,unresearched,unverified_candidate,Curated: crypto founder
908,fe-candidate-0908-james-allan-(computer-scientist),James Allan (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/James_Allan_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
909,fe-candidate-0909-john-h.-booske,John H. Booske,,American computer scientists,,,,,https://en.wikipedia.org/wiki/John_H._Booske,unresearched,unverified_candidate,Wikipedia category: American computer scientists
910,fe-candidate-0910-gayle-laakmann-mcdowell,Gayle Laakmann McDowell,,American software engineers,,,,,https://en.wikipedia.org/wiki/Gayle_Laakmann_McDowell,unresearched,unverified_candidate,Wikipedia category: American software engineers
911,fe-candidate-0911-guy-blelloch,Guy Blelloch,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Guy_Blelloch,unresearched,unverified_candidate,Wikipedia category: American computer scientists
912,fe-candidate-0912-eric-meyer,Eric Meyer,1967,web standards advocate,,,,,https://en.wikipedia.org/wiki/Eric_Meyer,unresearched,unverified_candidate,Curated: web standards advocate
913,fe-candidate-0913-ian-coldwater,Ian Coldwater,,American software engineers,,,,,https://en.wikipedia.org/wiki/Ian_Coldwater,unresearched,unverified_candidate,Wikipedia category: American software engineers
914,fe-candidate-0914-ashar-aziz,Ashar Aziz,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Ashar_Aziz,unresearched,unverified_candidate,Wikipedia category: American computer scientists
915,fe-candidate-0915-sanjay-ghemawat,Sanjay Ghemawat,1966,Google engineer,,,,,https://en.wikipedia.org/wiki/Sanjay_Ghemawat,unresearched,unverified_candidate,Curated: Google engineer
916,fe-candidate-0916-serge-belongie,Serge Belongie,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Serge_Belongie,unresearched,unverified_candidate,Wikipedia category: American computer scientists
917,fe-candidate-0917-coraline-ada-ehmke,Coraline Ada Ehmke,,American software engineers,,,,,https://en.wikipedia.org/wiki/Coraline_Ada_Ehmke,unresearched,unverified_candidate,Wikipedia category: American software engineers
918,fe-candidate-0918-paul-graham,Paul Graham,1964,YC founder,,,,,https://en.wikipedia.org/wiki/Paul_Graham,unresearched,unverified_candidate,Curated: YC founder
919,fe-candidate-0919-watts-humphrey,Watts Humphrey,,American software engineers,,,,,https://en.wikipedia.org/wiki/Watts_Humphrey,unresearched,unverified_candidate,Wikipedia category: American software engineers
920,fe-candidate-0920-brent-beer,Brent Beer,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Brent_Beer,unresearched,unverified_candidate,Curated: GitHub engineer
921,fe-candidate-0921-susan-wojcicki,Susan Wojcicki,1968,Google VP,,,,,https://en.wikipedia.org/wiki/Susan_Wojcicki,unresearched,unverified_candidate,Curated: Google VP
922,fe-candidate-0922-rick-adams-(internet-pioneer),Rick Adams (Internet pioneer),,American technology company founders,,,,,https://en.wikipedia.org/wiki/Rick_Adams_(Internet_pioneer),unresearched,unverified_candidate,Wikipedia category: American technology company founders
923,fe-candidate-0923-yahn-bernier,Yahn Bernier,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Yahn_Bernier,unresearched,unverified_candidate,Curated: Valve engineer
924,fe-candidate-0924-aubrey-edwards,Aubrey Edwards,,American software engineers,,,,,https://en.wikipedia.org/wiki/Aubrey_Edwards,unresearched,unverified_candidate,Wikipedia category: American software engineers
925,fe-candidate-0925-gaurav-misra,Gaurav Misra,,OpenAI researcher,,,,,https://en.wikipedia.org/wiki/Gaurav_Misra,unresearched,unverified_candidate,Curated: OpenAI researcher
926,fe-candidate-0926-scott-gray,Scott Gray,,OpenAI engineer,,,,,https://en.wikipedia.org/wiki/Scott_Gray,unresearched,unverified_candidate,Curated: OpenAI engineer
927,fe-candidate-0927-arie-belldegrun,Arie Belldegrun,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Arie_Belldegrun,unresearched,unverified_candidate,Wikipedia category: American technology company founders
928,fe-candidate-0928-joe-beda,Joe Beda,1976,Kubernetes creator,,,,,https://en.wikipedia.org/wiki/Joe_Beda,unresearched,unverified_candidate,Curated: Kubernetes creator
929,fe-candidate-0929-john-gruber,John Gruber,1969,Daring Fireball,,,,,https://en.wikipedia.org/wiki/John_Gruber,unresearched,unverified_candidate,Curated: Daring Fireball
930,fe-candidate-0930-tom-anderson,Tom Anderson,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Tom_Anderson,unresearched,unverified_candidate,Wikipedia category: American technology company founders
931,fe-candidate-0931-tamara-broderick,Tamara Broderick,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Tamara_Broderick,unresearched,unverified_candidate,Wikipedia category: American computer scientists
932,fe-candidate-0932-axel-neff,Axel Neff,,American software engineers,,,,,https://en.wikipedia.org/wiki/Axel_Neff,unresearched,unverified_candidate,Wikipedia category: American software engineers
933,fe-candidate-0933-gul-agha-(computer-scientist),Gul Agha (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Gul_Agha_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
934,fe-candidate-0934-sam-mccandlish,Sam McCandlish,,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Sam_McCandlish,unresearched,unverified_candidate,Curated: Anthropic founder
935,fe-candidate-0935-ward-cunningham,Ward Cunningham,1949,wiki inventor,,,,,https://en.wikipedia.org/wiki/Ward_Cunningham,unresearched,unverified_candidate,Curated: wiki inventor
936,fe-candidate-0936-lászló-bélády,László Bélády,,American software engineers,,,,,https://en.wikipedia.org/wiki/László_Bélády,unresearched,unverified_candidate,Wikipedia category: American software engineers
937,fe-candidate-0937-konstantin-guericke,Konstantin Guericke,,LinkedIn founder,,,,,https://en.wikipedia.org/wiki/Konstantin_Guericke,unresearched,unverified_candidate,Curated: LinkedIn founder
938,fe-candidate-0938-dorothy-blum,Dorothy Blum,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Dorothy_Blum,unresearched,unverified_candidate,Wikipedia category: American computer scientists
939,fe-candidate-0939-victoria-chibuogu-nneji,Victoria Chibuogu Nneji,,American software engineers,,,,,https://en.wikipedia.org/wiki/Victoria_Chibuogu_Nneji,unresearched,unverified_candidate,Wikipedia category: American software engineers
940,fe-candidate-0940-hedy-lamarr,Hedy Lamarr,1914,frequency hopping,,,,,https://en.wikipedia.org/wiki/Hedy_Lamarr,unresearched,unverified_candidate,Curated: frequency hopping
941,fe-candidate-0941-janet-wojcicki,Janet Wojcicki,,tech adjacent,,,,,https://en.wikipedia.org/wiki/Janet_Wojcicki,unresearched,unverified_candidate,Curated: tech adjacent
942,fe-candidate-0942-mark-pincus,Mark Pincus,1966,Zynga founder,,,,,https://en.wikipedia.org/wiki/Mark_Pincus,unresearched,unverified_candidate,Curated: Zynga founder
943,fe-candidate-0943-charles-kuta,Charles Kuta,,American software engineers,,,,,https://en.wikipedia.org/wiki/Charles_Kuta,unresearched,unverified_candidate,Wikipedia category: American software engineers
944,fe-candidate-0944-zach-perret,Zach Perret,1986,Plaid founder,,,,,https://en.wikipedia.org/wiki/Zach_Perret,unresearched,unverified_candidate,Curated: Plaid founder
945,fe-candidate-0945-john-schulman,John Schulman,,Anthropic researcher,,,,,https://en.wikipedia.org/wiki/John_Schulman,unresearched,unverified_candidate,Curated: Anthropic researcher
946,fe-candidate-0946-stephen-day,Stephen Day,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Stephen_Day,unresearched,unverified_candidate,Curated: Docker engineer
947,fe-candidate-0947-andrew-ballen,Andrew Ballen,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Andrew_Ballen,unresearched,unverified_candidate,Wikipedia category: American technology company founders
948,fe-candidate-0948-anthony-ha,Anthony Ha,,tech writer,,,,,https://en.wikipedia.org/wiki/Anthony_Ha,unresearched,unverified_candidate,Curated: tech writer
949,fe-candidate-0949-brian-goff,Brian Goff,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Brian_Goff,unresearched,unverified_candidate,Curated: Docker engineer
950,fe-candidate-0950-jeff-black-(businessman),Jeff Black (businessman),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Jeff_Black_(businessman),unresearched,unverified_candidate,Wikipedia category: American computer scientists
951,fe-candidate-0951-jeremy-doig,Jeremy Doig,,Google engineer,,,,,https://en.wikipedia.org/wiki/Jeremy_Doig,unresearched,unverified_candidate,Curated: Google engineer
952,fe-candidate-0952-dmitriy-zaporozhets,Dmitriy Zaporozhets,1984,GitLab founder,,,,,https://en.wikipedia.org/wiki/Dmitriy_Zaporozhets,unresearched,unverified_candidate,Curated: GitLab founder
953,fe-candidate-0953-scott-j-beck,Scott J Beck,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Scott_J_Beck,unresearched,unverified_candidate,Curated: GitHub engineer
954,fe-candidate-0954-christophe-bisciglia,Christophe Bisciglia,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Christophe_Bisciglia,unresearched,unverified_candidate,Wikipedia category: American computer scientists
955,fe-candidate-0955-evan-piekaz,Evan Piekaz,,tech founder,,,,,https://en.wikipedia.org/wiki/Evan_Piekaz,unresearched,unverified_candidate,Curated: tech founder
956,fe-candidate-0956-john-mark-ockerbloom,John Mark Ockerbloom,,American software engineers,,,,,https://en.wikipedia.org/wiki/John_Mark_Ockerbloom,unresearched,unverified_candidate,Wikipedia category: American software engineers
957,fe-candidate-0957-roberto-peon,Roberto Peon,,Google engineer,,,,,https://en.wikipedia.org/wiki/Roberto_Peon,unresearched,unverified_candidate,Curated: Google engineer
958,fe-candidate-0958-amitt-mahajan,Amitt Mahajan,,Zynga engineer,,,,,https://en.wikipedia.org/wiki/Amitt_Mahajan,unresearched,unverified_candidate,Curated: Zynga engineer
